iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSC rSC_p rSC_a rInfAA rInfAA_p rInfAA_a rInfAC rInfAC_p rInfAC_a rInfSC rInfSC_p rInfSC_a data_p data_a
0 -12946.3 0.00429265 0 0 2.22482 0 0 1 0 0 0.805252 0 0 1 0 0 1 0 0 1.4397 0 0 0 0
40 -6931.83 0.000112875 40 23 0.195255 40 15 1 0 0 1.53753 40 21 1 0 0 1 0 0 1.07239 40 13 68440 49570
80 -7031.45 0.000136469 40 24 0.1281 40 15 1 0 0 1.93957 40 13 1 0 0 1 0 0 1.38584 40 8 68440 50956
120 -6992.63 0.000709944 40 15 0.119253 40 12 1 0 0 1.85937 40 11 1 0 0 1 0 0 1.43251 40 13 68440 51358
160 -7059.68 0.000349806 40 13 0.107701 40 7 1 0 0 2.24408 40 5 1 0 0 1 0 0 1.43665 40 12 68440 51407
200 -7020.55 0.000227224 40 22 0.137504 40 14 1 0 0 2.05981 40 9 1 0 0 1 0 0 1.25965 40 7 68440 51209
240 -7015.46 0.000192406 40 31 0.147719 40 7 1 0 0 1.86833 40 10 1 0 0 1 0 0 1.32136 40 7 68440 51064
280 -6979.76 0.00066491 40 20 0.128241 40 7 1 0 0 1.98333 40 4 1 0 0 1 0 0 1.27978 40 10 68440 51130
320 -6912.57 0.000376263 40 21 0.135001 40 7 1 0 0 1.89678 40 10 1 0 0 1 0 0 1.35758 40 9 68440 51365
360 -6969.12 0.000300857 40 20 0.140705 40 8 1 0 0 1.93258 40 5 1 0 0 1 0 0 1.2812 40 8 68440 51389
400 -6975.99 0.000450593 40 22 0.119452 40 7 1 0 0 1.99808 40 12 1 0 0 1 0 0 1.57199 40 6 68440 51169
440 -6954.73 0.000165304 40 20 0.145083 40 6 1 0 0 2.14242 40 9 1 0 0 1 0 0 1.17469 40 10 68440 50935
480 -7061.01 0.00072829 40 21 0.120217 40 7 1 0 0 1.77218 40 8 1 0 0 1 0 0 1.56984 40 9 68440 51259
520 -7034.69 0.000476478 40 17 0.13009 40 11 1 0 0 1.96817 40 5 1 0 0 1 0 0 1.3032 40 10 68440 51151
560 -6915.99 0.000115499 40 18 0.133814 40 5 1 0 0 2.03732 40 8 1 0 0 1 0 0 1.31562 40 4 68440 51226
600 -6978.58 0.000483089 40 20 0.131923 40 10 1 0 0 2.09802 40 7 1 0 0 1 0 0 1.34036 40 9 68440 51253
640 -7018.93 0.000475994 40 19 0.137599 40 7 1 0 0 1.96579 40 10 1 0 0 1 0 0 1.22507 40 7 68440 51291
680 -6937.05 0.000462553 40 24 0.133229 40 8 1 0 0 2.00222 40 11 1 0 0 1 0 0 1.26358 40 10 68440 51305
720 -6966.84 0.000155732 40 18 0.150562 40 3 1 0 0 1.81879 40 7 1 0 0 1 0 0 1.21055 40 8 68440 51123
760 -6977.2 0.00041914 40 16 0.144888 40 9 1 0 0 1.86543 40 10 1 0 0 1 0 0 1.30725 40 9 68440 50788
800 -6936.05 0.000358238 40 17 0.131906 40 7 1 0 0 2.00512 40 15 1 0 0 1 0 0 1.24944 40 7 68440 51341
840 -6951.44 9.31595e-05 40 26 0.155022 40 11 1 0 0 1.80671 40 11 1 0 0 1 0 0 1.20385 40 10 68440 50990
880 -7019.99 7.55564e-05 40 29 0.145883 40 8 1 0 0 1.86572 40 9 1 0 0 1 0 0 1.20154 40 11 68440 51087
920 -6985.11 0.000173636 40 20 0.153034 40 10 1 0 0 1.88343 40 7 1 0 0 1 0 0 1.27411 40 13 68440 51027
960 -6924.59 0.000259039 40 19 0.164617 40 9 1 0 0 1.86158 40 8 1 0 0 1 0 0 1.06355 40 10 68440 51243
1000 -7027.11 0.000662619 40 18 0.142726 40 14 1 0 0 1.80787 40 7 1 0 0 1 0 0 1.24091 40 7 68440 51468
1040 -6981.65 0.000418647 40 20 0.131572 40 7 1 0 0 2.00537 40 8 1 0 0 1 0 0 1.30229 40 12 68440 51471
1080 -7003.26 0.000333759 40 20 0.143018 40 9 1 0 0 1.88722 40 6 1 0 0 1 0 0 1.33845 40 7 68440 51207
1120 -6981.32 0.000334302 40 19 0.13753 40 7 1 0 0 2.02121 40 10 1 0 0 1 0 0 1.22281 40 14 68440 51255
1160 -6963.24 0.000362917 40 22 0.149775 40 8 1 0 0 1.84768 40 10 1 0 0 1 0 0 1.27937 40 11 68440 50923
1200 -6976.6 0.000166935 40 24 0.14024 40 11 1 0 0 1.82106 40 11 1 0 0 1 0 0 1.35414 40 10 68440 50891
1240 -6983.1 0.000172291 40 20 0.154126 40 6 1 0 0 1.64734 40 9 1 0 0 1 0 0 1.29136 40 6 68440 50859
1280 -6946.54 0.000605668 40 17 0.126542 40 11 1 0 0 1.97834 40 13 1 0 0 1 0 0 1.33299 40 10 68440 51167
1320 -6990.68 0.000584385 40 19 0.135003 40 7 1 0 0 1.76055 40 8 1 0 0 1 0 0 1.40041 40 9 68440 51188
