iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSC rSC_p rSC_a rInfAA rInfAA_p rInfAA_a rInfAC rInfAC_p rInfAC_a rInfSC rInfSC_p rInfSC_a data_p data_a
0 -24605.3 0.00178634 0 0 2.82472 0 0 1 0 0 2.32646 0 0 1 0 0 1 0 0 1.79234 0 0 0 0
40 -6875.83 0.00109446 40 19 0.26428 40 17 1 0 0 1.61301 40 19 1 0 0 1 0 0 0.939975 40 14 141120 111694
80 -6858.15 0.00198989 40 14 0.135574 40 10 1 0 0 2.11865 40 9 1 0 0 1 0 0 1.42702 40 14 141120 113004
120 -6891.03 0.00159701 40 9 0.116991 40 17 1 0 0 2.55339 40 9 1 0 0 1 0 0 1.49628 40 8 141120 113744
160 -6824.47 0.000903165 40 11 0.126629 40 10 1 0 0 2.25756 40 13 1 0 0 1 0 0 1.74922 40 12 141120 113275
200 -6793.6 0.00152093 40 12 0.10412 40 10 1 0 0 2.48315 40 12 1 0 0 1 0 0 1.82028 40 12 141120 113437
240 -6829.39 0.0025085 40 6 0.0959862 40 11 1 0 0 2.60649 40 8 1 0 0 1 0 0 1.95669 40 13 141120 113768
280 -6820.83 0.00105394 40 6 0.137794 40 10 1 0 0 2.31436 40 13 1 0 0 1 0 0 1.38556 40 16 141120 114027
320 -6820.49 0.00145669 40 11 0.123777 40 11 1 0 0 2.51053 40 12 1 0 0 1 0 0 1.37971 40 13 141120 113569
360 -6821.21 0.00112471 40 5 0.113192 40 7 1 0 0 2.34535 40 11 1 0 0 1 0 0 1.72256 40 11 141120 113483
400 -6845.25 0.00116302 40 11 0.129216 40 11 1 0 0 2.28464 40 11 1 0 0 1 0 0 1.47726 40 13 141120 113339
440 -6878.38 0.00227042 40 12 0.101869 40 10 1 0 0 2.50049 40 12 1 0 0 1 0 0 1.83321 40 12 141120 113498
480 -6814.15 0.00129931 40 7 0.10988 40 8 1 0 0 2.32988 40 11 1 0 0 1 0 0 1.73231 40 5 141120 113566
520 -6827.62 0.00103233 40 6 0.122313 40 10 1 0 0 2.43863 40 11 1 0 0 1 0 0 1.55274 40 8 141120 113657
560 -6857.89 0.00121155 40 7 0.123245 40 7 1 0 0 2.31285 40 9 1 0 0 1 0 0 1.6049 40 6 141120 113577
600 -6823.37 0.00148439 40 11 0.112238 40 5 1 0 0 2.36203 40 11 1 0 0 1 0 0 1.67217 40 10 141120 113662
640 -6855.58 0.00189919 40 13 0.122367 40 11 1 0 0 2.1498 40 10 1 0 0 1 0 0 1.77736 40 8 141120 113514
680 -6873.56 0.00156144 40 7 0.107211 40 11 1 0 0 2.33194 40 6 1 0 0 1 0 0 1.80882 40 9 141120 113605
720 -6810.45 0.00131339 40 13 0.10773 40 9 1 0 0 2.67618 40 12 1 0 0 1 0 0 1.67782 40 12 141120 113755
760 -6817.76 0.00122484 40 8 0.107494 40 11 1 0 0 2.66836 40 9 1 0 0 1 0 0 1.63834 40 7 141120 113838
800 -6826.85 0.00140996 40 11 0.107058 40 13 1 0 0 2.67084 40 10 1 0 0 1 0 0 1.81197 40 9 141120 113456
840 -6867.5 0.00114813 40 9 0.111922 40 11 1 0 0 2.53014 40 9 1 0 0 1 0 0 1.71899 40 7 141120 113389
880 -6834.63 0.00184596 40 8 0.102794 40 9 1 0 0 2.84849 40 6 1 0 0 1 0 0 1.63492 40 9 141120 113324
920 -6837.25 0.00154459 40 11 0.102533 40 9 1 0 0 3.07901 40 13 1 0 0 1 0 0 1.46089 40 13 141120 113515
960 -6815.46 0.00213609 40 7 0.100172 40 7 1 0 0 2.93345 40 10 1 0 0 1 0 0 1.63067 40 10 141120 113703
1000 -6868.67 0.00261129 40 9 0.0954248 40 7 1 0 0 2.48629 40 9 1 0 0 1 0 0 1.7727 40 9 141120 113796
1040 -6877.28 0.00233199 40 5 0.0936244 40 6 1 0 0 2.6129 40 6 1 0 0 1 0 0 1.89792 40 13 141120 113859
1080 -6850.32 0.00156582 40 8 0.117693 40 6 1 0 0 2.47473 40 12 1 0 0 1 0 0 1.50946 40 10 141120 113537
1120 -6839.63 0.00136977 40 13 0.117516 40 9 1 0 0 2.25997 40 13 1 0 0 1 0 0 1.74997 40 10 141120 113580
1160 -6803.94 0.00150887 40 9 0.106383 40 2 1 0 0 2.49831 40 11 1 0 0 1 0 0 1.79099 40 6 141120 113469
1200 -6847.56 0.000657518 40 11 0.128999 40 5 1 0 0 2.20216 40 11 1 0 0 1 0 0 1.53571 40 10 141120 113569
1240 -6862.58 0.00116878 40 10 0.114655 40 5 1 0 0 2.33036 40 11 1 0 0 1 0 0 1.78127 40 11 141120 113622
1280 -6851.31 0.0023164 40 11 0.133804 40 8 1 0 0 2.38208 40 9 1 0 0 1 0 0 1.29704 40 8 141120 113499
1320 -6866.03 0.00205384 40 7 0.127672 40 11 1 0 0 2.54617 40 7 1 0 0 1 0 0 1.30958 40 10 141120 113774
1360 -6850.67 0.00196509 40 11 0.121045 40 9 1 0 0 2.41418 40 10 1 0 0 1 0 0 1.62605 40 14 141120 113621
1400 -6869.97 0.00164094 40 6 0.107996 40 9 1 0 0 2.59136 40 9 1 0 0 1 0 0 1.6797 40 4 141120 113748
1440 -6829.71 0.0013443 40 10 0.12918 40 15 1 0 0 2.63407 40 10 1 0 0 1 0 0 1.29597 40 11 141120 113667
