iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSC rSC_p rSC_a rInfAA rInfAA_p rInfAA_a rInfAC rInfAC_p rInfAC_a rInfSC rInfSC_p rInfSC_a data_p data_a
0 -8003.43 0.0105169 0 0 0.545636 0 0 1 0 0 0.957753 0 0 1 0 0 1 0 0 0.639415 0 0 0 0
40 -6756.29 0.0020089 40 11 0.346926 40 12 1 0 0 0.489247 40 15 1 0 0 1 0 0 1.02657 40 16 138320 112988
80 -6756.95 0.00262892 40 6 0.352567 40 9 1 0 0 0.507938 40 11 1 0 0 1 0 0 0.919936 40 9 138320 112152
120 -6779.26 0.00190603 40 14 0.305161 40 13 1 0 0 0.489933 40 11 1 0 0 1 0 0 1.1291 40 13 138320 112581
160 -6799.98 0.00154375 40 7 0.361025 40 8 1 0 0 0.477789 40 9 1 0 0 1 0 0 0.847577 40 8 138320 112209
200 -6779.63 0.00116403 40 10 0.373976 40 14 1 0 0 0.468896 40 12 1 0 0 1 0 0 0.972704 40 11 138320 112596
240 -6805.85 0.00261004 40 11 0.358583 40 8 1 0 0 0.513727 40 11 1 0 0 1 0 0 0.811666 40 16 138320 112527
280 -6780.83 0.00264489 40 6 0.303516 40 8 1 0 0 0.488153 40 12 1 0 0 1 0 0 1.10952 40 8 138320 112717
320 -6777.47 0.0020474 40 7 0.351409 40 6 1 0 0 0.463132 40 10 1 0 0 1 0 0 1.02499 40 10 138320 112442
360 -6794.98 0.00149589 40 7 0.353189 40 10 1 0 0 0.464667 40 8 1 0 0 1 0 0 0.944117 40 13 138320 112317
400 -6748.75 0.00166942 40 9 0.395084 40 8 1 0 0 0.49015 40 7 1 0 0 1 0 0 0.800797 40 10 138320 112448
440 -6757.29 0.00167314 40 3 0.390937 40 12 1 0 0 0.479858 40 7 1 0 0 1 0 0 0.777967 40 11 138320 111992
480 -6769.34 0.00169577 40 9 0.394818 40 10 1 0 0 0.461873 40 11 1 0 0 1 0 0 0.840248 40 11 138320 112412
520 -6776.56 0.00278292 40 5 0.358144 40 13 1 0 0 0.446589 40 9 1 0 0 1 0 0 0.889954 40 14 138320 112300
560 -6762.51 0.00241925 40 13 0.34 40 6 1 0 0 0.473371 40 12 1 0 0 1 0 0 0.958688 40 15 138320 112302
600 -6752.35 0.0020557 40 13 0.336546 40 5 1 0 0 0.481348 40 15 1 0 0 1 0 0 1.01349 40 7 138320 112470
640 -6768.8 0.00156153 40 12 0.401051 40 5 1 0 0 0.455054 40 6 1 0 0 1 0 0 0.857858 40 8 138320 112322
680 -6769.54 0.00203192 40 9 0.357679 40 10 1 0 0 0.512327 40 12 1 0 0 1 0 0 0.868198 40 13 138320 111971
720 -6788.36 0.00243901 40 11 0.343159 40 7 1 0 0 0.492667 40 7 1 0 0 1 0 0 0.879924 40 11 138320 112258
760 -6803.88 0.00187978 40 12 0.343485 40 18 1 0 0 0.44978 40 12 1 0 0 1 0 0 1.01833 40 12 138320 112483
800 -6771.38 0.00270221 40 7 0.314667 40 10 1 0 0 0.513939 40 8 1 0 0 1 0 0 1.06701 40 8 138320 112508
840 -6764.71 0.00116869 40 11 0.322993 40 10 1 0 0 0.565736 40 10 1 0 0 1 0 0 0.956072 40 8 138320 112556
880 -6750.39 0.00186221 40 9 0.325229 40 10 1 0 0 0.547591 40 10 1 0 0 1 0 0 0.947092 40 9 138320 112453
920 -6762.83 0.00158994 40 11 0.35864 40 5 1 0 0 0.522925 40 11 1 0 0 1 0 0 0.983962 40 10 138320 112308
