iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSC rSC_p rSC_a rInfAA rInfAA_p rInfAA_a rInfAC rInfAC_p rInfAC_a rInfSC rInfSC_p rInfSC_a data_p data_a
0 -29834 0.000298296 0 0 8.23783 0 0 1 0 0 0.286346 0 0 1 0 0 1 0 0 2.25491 0 0 0 0
40 -7388.6 0.000422823 40 24 0.29636 40 27 1 0 0 0.557615 40 20 1 0 0 1 0 0 1.22541 40 18 70080 47951
80 -7329.89 0.000157234 40 19 0.295077 40 9 1 0 0 0.61552 40 11 1 0 0 1 0 0 1.20813 40 8 70080 53047
120 -7333.23 0.000277166 40 28 0.254293 40 6 1 0 0 0.640132 40 6 1 0 0 1 0 0 1.30318 40 10 70080 53009
160 -7369.32 0.000256475 40 22 0.295547 40 11 1 0 0 0.611914 40 3 1 0 0 1 0 0 1.22625 40 6 70080 53055
200 -7339.23 0.000312598 40 14 0.29991 40 6 1 0 0 0.631213 40 6 1 0 0 1 0 0 1.20746 40 11 70080 53101
240 -7280.29 0.000156202 40 23 0.290543 40 11 1 0 0 0.637304 40 7 1 0 0 1 0 0 1.20793 40 10 70080 53080
280 -7384.65 0.000149969 40 21 0.25322 40 10 1 0 0 0.611383 40 9 1 0 0 1 0 0 1.4711 40 11 70080 53099
320 -7286.85 0.000125798 40 27 0.248351 40 12 1 0 0 0.583091 40 8 1 0 0 1 0 0 1.54807 40 9 70080 52794
360 -7335.38 0.000141076 40 29 0.281179 40 12 1 0 0 0.610587 40 14 1 0 0 1 0 0 1.29116 40 9 70080 52439
400 -7288.13 7.22156e-06 40 23 0.240179 40 15 1 0 0 0.671289 40 10 1 0 0 1 0 0 1.389 40 9 70080 52983
440 -7284.02 0.000128762 40 30 0.276763 40 12 1 0 0 0.687876 40 8 1 0 0 1 0 0 1.36435 40 10 70080 52734
480 -7295.54 0.000360198 40 23 0.277215 40 8 1 0 0 0.597225 40 10 1 0 0 1 0 0 1.29 40 10 70080 52978
520 -7297 0.000190005 40 23 0.276982 40 9 1 0 0 0.660931 40 8 1 0 0 1 0 0 1.35397 40 12 70080 52829
560 -7285.67 0.000321931 40 26 0.219644 40 13 1 0 0 0.70464 40 11 1 0 0 1 0 0 1.65315 40 6 70080 52783
600 -7309.3 0.000188356 40 23 0.226152 40 13 1 0 0 0.6675 40 10 1 0 0 1 0 0 1.72392 40 15 70080 52649
640 -7291.62 0.000528594 40 28 0.233245 40 13 1 0 0 0.638886 40 11 1 0 0 1 0 0 1.53206 40 12 70080 52995
680 -7355.72 0.00022454 40 18 0.28043 40 11 1 0 0 0.644057 40 12 1 0 0 1 0 0 1.37936 40 5 70080 52823
720 -7215.37 1.23458e-05 40 29 0.278252 40 8 1 0 0 0.609502 40 11 1 0 0 1 0 0 1.46722 40 13 70080 52769
760 -7330.14 6.20891e-05 40 31 0.302023 40 11 1 0 0 0.602412 40 16 1 0 0 1 0 0 1.23791 40 11 70080 52723
800 -7311.7 0.000100708 40 30 0.270998 40 10 1 0 0 0.682832 40 7 1 0 0 1 0 0 1.22699 40 9 70080 52894
840 -7344.68 0.000321825 40 26 0.269904 40 11 1 0 0 0.581737 40 9 1 0 0 1 0 0 1.43416 40 10 70080 53002
880 -7320.83 0.000334422 40 25 0.272192 40 10 1 0 0 0.64253 40 11 1 0 0 1 0 0 1.25993 40 12 70080 52976
920 -7277.89 7.05018e-06 40 30 0.280071 40 5 1 0 0 0.681868 40 15 1 0 0 1 0 0 1.244 40 6 70080 52829
960 -7279.91 0.000233902 40 21 0.315095 40 7 1 0 0 0.613685 40 9 1 0 0 1 0 0 1.197 40 9 70080 52792
1000 -7283.68 0.000540887 40 19 0.251731 40 9 1 0 0 0.586915 40 9 1 0 0 1 0 0 1.53631 40 6 70080 53046
1040 -7301.78 0.000579701 40 21 0.243017 40 7 1 0 0 0.660129 40 9 1 0 0 1 0 0 1.32199 40 9 70080 53122
1080 -7322.07 0.000305896 40 21 0.283399 40 10 1 0 0 0.593832 40 9 1 0 0 1 0 0 1.26783 40 6 70080 52800
1120 -7316.43 0.000301436 40 21 0.306471 40 10 1 0 0 0.670042 40 11 1 0 0 1 0 0 1.2598 40 13 70080 52723
1160 -7342.23 0.000282149 40 27 0.269983 40 12 1 0 0 0.69047 40 6 1 0 0 1 0 0 1.35071 40 14 70080 52992
1200 -7268.92 0.000230489 40 27 0.276172 40 9 1 0 0 0.680675 40 10 1 0 0 1 0 0 1.24497 40 8 70080 52736
1240 -7310.82 1.3403e-05 40 30 0.269037 40 9 1 0 0 0.581714 40 12 1 0 0 1 0 0 1.45415 40 8 70080 52641
1280 -7347.03 0.000110857 40 27 0.247972 40 10 1 0 0 0.729044 40 11 1 0 0 1 0 0 1.51353 40 5 70080 52729
1320 -7301.22 0.000143676 40 24 0.304303 40 8 1 0 0 0.6218 40 8 1 0 0 1 0 0 1.20695 40 9 70080 53113
1360 -7316.28 8.36017e-05 40 22 0.27702 40 13 1 0 0 0.696617 40 8 1 0 0 1 0 0 1.39855 40 11 70080 52909
1400 -7300.35 0.000131675 40 24 0.262295 40 11 1 0 0 0.679906 40 8 1 0 0 1 0 0 1.29979 40 6 70080 52786
1440 -7373.33 0.000762236 40 27 0.238615 40 4 1 0 0 0.692995 40 9 1 0 0 1 0 0 1.35885 40 9 70080 52979
1480 -7291.91 0.000377932 40 26 0.263501 40 10 1 0 0 0.598825 40 6 1 0 0 1 0 0 1.41107 40 6 70080 52799
1520 -7293.93 4.06235e-05 40 25 0.310408 40 8 1 0 0 0.685631 40 6 1 0 0 1 0 0 1.1682 40 9 70080 52689
1560 -7245.56 0.000297487 40 24 0.257768 40 8 1 0 0 0.657145 40 8 1 0 0 1 0 0 1.48112 40 5 70080 52741
1600 -7330.03 0.000373279 40 25 0.259334 40 8 1 0 0 0.734683 40 4 1 0 0 1 0 0 1.22118 40 14 70080 52886
1640 -7314.19 0.000278998 40 29 0.248757 40 11 1 0 0 0.655318 40 6 1 0 0 1 0 0 1.4191 40 4 70080 52943
1680 -7367.75 0.000780832 40 23 0.267567 40 10 1 0 0 0.589369 40 9 1 0 0 1 0 0 1.41956 40 14 70080 53086
1720 -7322.83 0.000193801 40 24 0.309695 40 11 1 0 0 0.573989 40 8 1 0 0 1 0 0 1.27644 40 8 70080 52678
1760 -7298 0.000131174 40 19 0.268433 40 9 1 0 0 0.580705 40 9 1 0 0 1 0 0 1.45043 40 6 70080 52892
1800 -7291.35 4.02914e-05 40 28 0.271291 40 9 1 0 0 0.633707 40 6 1 0 0 1 0 0 1.50112 40 10 70080 52917
1840 -7268.29 0.000200172 40 23 0.284458 40 6 1 0 0 0.646535 40 13 1 0 0 1 0 0 1.39673 40 8 70080 52994
1880 -7298.12 0.000336928 40 17 0.274052 40 12 1 0 0 0.712383 40 6 1 0 0 1 0 0 1.35908 40 9 70080 53034
1920 -7345.21 0.000226212 40 24 0.275903 40 11 1 0 0 0.622446 40 11 1 0 0 1 0 0 1.44351 40 6 70080 52812
1960 -7279.86 0.000306611 40 28 0.285998 40 11 1 0 0 0.64081 40 11 1 0 0 1 0 0 1.29609 40 7 70080 52879
2000 -7403.21 8.26063e-05 40 26 0.252049 40 8 1 0 0 0.657401 40 11 1 0 0 1 0 0 1.45627 40 8 70080 52901
2040 -7255.52 0.00034363 40 21 0.265938 40 5 1 0 0 0.682138 40 5 1 0 0 1 0 0 1.33718 40 8 70080 52658
2080 -7375.11 0.000373506 40 20 0.277646 40 9 1 0 0 0.67223 40 11 1 0 0 1 0 0 1.29268 40 9 70080 52988
2120 -7315.5 0.00017679 40 16 0.244091 40 7 1 0 0 0.598526 40 12 1 0 0 1 0 0 1.64178 40 11 70080 53157
2160 -7263.76 0.000363131 40 21 0.29609 40 12 1 0 0 0.565712 40 8 1 0 0 1 0 0 1.35503 40 12 70080 53124
2200 -7272.29 0.000278608 40 18 0.257329 40 11 1 0 0 0.701697 40 8 1 0 0 1 0 0 1.2739 40 8 70080 53076
2240 -7325.67 0.000328004 40 20 0.22144 40 8 1 0 0 0.787597 40 14 1 0 0 1 0 0 1.35513 40 13 70080 52985
2280 -7363.75 0.000158072 40 22 0.24225 40 11 1 0 0 0.678087 40 7 1 0 0 1 0 0 1.5255 40 4 70080 53110
2320 -7279.77 0.000171126 40 26 0.268654 40 6 1 0 0 0.647131 40 9 1 0 0 1 0 0 1.54855 40 12 70080 53000
2360 -7340.15 0.000304829 40 21 0.263773 40 10 1 0 0 0.640146 40 8 1 0 0 1 0 0 1.3548 40 9 70080 53033
2400 -7278.89 0.000140899 40 19 0.264535 40 2 1 0 0 0.632612 40 5 1 0 0 1 0 0 1.33698 40 11 70080 53074
2440 -7244.84 0.00035525 40 28 0.262964 40 8 1 0 0 0.627629 40 10 1 0 0 1 0 0 1.46889 40 11 70080 52853
2480 -7282.62 7.68696e-05 40 27 0.288946 40 9 1 0 0 0.624671 40 12 1 0 0 1 0 0 1.28284 40 15 70080 53044
2520 -7279.29 2.20042e-06 40 32 0.304553 40 10 1 0 0 0.631668 40 13 1 0 0 1 0 0 1.27031 40 5 70080 52659
2560 -7342.63 0.000110814 40 28 0.27654 40 8 1 0 0 0.661698 40 8 1 0 0 1 0 0 1.2665 40 5 70080 52623
2600 -7310.14 0.000318226 40 24 0.268594 40 14 1 0 0 0.69093 40 4 1 0 0 1 0 0 1.41884 40 13 70080 52817
2640 -7339.94 0.000121687 40 25 0.256989 40 7 1 0 0 0.620435 40 10 1 0 0 1 0 0 1.48959 40 7 70080 52985
2680 -7298.08 0.000126118 40 25 0.275656 40 8 1 0 0 0.647216 40 10 1 0 0 1 0 0 1.3091 40 9 70080 52684
2720 -7284.61 0.000210969 40 27 0.286533 40 8 1 0 0 0.698142 40 4 1 0 0 1 0 0 1.10022 40 9 70080 52681
2760 -7332.48 0.000232074 40 27 0.293847 40 7 1 0 0 0.621566 40 8 1 0 0 1 0 0 1.25424 40 6 70080 52688
2800 -7321.29 0.000474479 40 14 0.275495 40 9 1 0 0 0.584523 40 12 1 0 0 1 0 0 1.32582 40 7 70080 53112
2840 -7293.98 0.000242125 40 23 0.303374 40 14 1 0 0 0.685937 40 10 1 0 0 1 0 0 1.25793 40 4 70080 52951
2880 -7278.35 0.000213932 40 16 0.259742 40 12 1 0 0 0.655099 40 5 1 0 0 1 0 0 1.31894 40 10 70080 53122
2920 -7294.75 5.66677e-05 40 28 0.28539 40 9 1 0 0 0.577691 40 9 1 0 0 1 0 0 1.36468 40 7 70080 52805
2960 -7348.12 0.000144013 40 28 0.259429 40 11 1 0 0 0.631556 40 7 1 0 0 1 0 0 1.46787 40 9 70080 52737
