iteration logLik alpha alpha_p alpha_a beta beta_p beta_a delta delta_p delta_a rSC rSC_p rSC_a rInfAA rInfAA_p rInfAA_a rInfAC rInfAC_p rInfAC_a rInfSC rInfSC_p rInfSC_a data_p data_a
0 -9732.44 0.00241022 0 0 2.4684 0 0 1 0 0 0.582631 0 0 1 0 0 1 0 0 0.615724 0 0 0 0
40 -6535.33 0.000974679 40 17 0.306533 40 17 1 0 0 1.35922 40 12 1 0 0 1 0 0 0.729666 40 11 136560 108993
80 -6515.59 0.00121953 40 8 0.146591 40 10 1 0 0 2.09957 40 10 1 0 0 1 0 0 1.13791 40 11 136560 109907
120 -6510.93 0.00106187 40 13 0.153424 40 4 1 0 0 2.05322 40 7 1 0 0 1 0 0 1.14282 40 7 136560 110020
160 -6521.48 0.00151735 40 10 0.146422 40 11 1 0 0 2.37163 40 13 1 0 0 1 0 0 1.03442 40 11 136560 109638
200 -6519.39 0.000998561 40 13 0.156527 40 8 1 0 0 2.10057 40 15 1 0 0 1 0 0 1.1052 40 15 136560 110541
240 -6486.81 0.00137427 40 10 0.150528 40 4 1 0 0 2.0618 40 13 1 0 0 1 0 0 1.14435 40 11 136560 109764
280 -6487.35 0.00111828 40 12 0.148224 40 10 1 0 0 2.15616 40 11 1 0 0 1 0 0 1.13306 40 8 136560 109941
320 -6481.77 0.00133723 40 10 0.162597 40 6 1 0 0 1.79871 40 10 1 0 0 1 0 0 1.12953 40 9 136560 109906
360 -6513 0.00137683 40 13 0.129755 40 11 1 0 0 2.27073 40 8 1 0 0 1 0 0 1.05787 40 11 136560 109761
400 -6535.03 0.00221976 40 10 0.148131 40 10 1 0 0 2.06816 40 10 1 0 0 1 0 0 1.06267 40 11 136560 110102
440 -6501.13 0.00110848 40 14 0.145586 40 5 1 0 0 2.23425 40 12 1 0 0 1 0 0 1.08707 40 13 136560 110035
480 -6534.41 0.0019408 40 11 0.119248 40 10 1 0 0 2.52115 40 9 1 0 0 1 0 0 1.12605 40 11 136560 109818
520 -6522.72 0.00148227 40 15 0.116985 40 8 1 0 0 2.53357 40 6 1 0 0 1 0 0 1.15955 40 8 136560 110033
560 -6533.58 0.00165145 40 8 0.129332 40 10 1 0 0 2.21674 40 11 1 0 0 1 0 0 1.29676 40 15 136560 109914
600 -6514.4 0.00142122 40 12 0.131218 40 8 1 0 0 1.96377 40 11 1 0 0 1 0 0 1.28526 40 11 136560 109759
640 -6539.05 0.00202033 40 10 0.154626 40 9 1 0 0 1.87484 40 11 1 0 0 1 0 0 1.10145 40 12 136560 109837
680 -6559.47 0.001904 40 7 0.15665 40 6 1 0 0 2.09373 40 10 1 0 0 1 0 0 1.02541 40 14 136560 109672
720 -6513.53 0.00191009 40 7 0.156164 40 13 1 0 0 2.04445 40 13 1 0 0 1 0 0 1.06534 40 10 136560 110107
760 -6518.5 0.00179828 40 11 0.1138 40 11 1 0 0 2.20381 40 9 1 0 0 1 0 0 1.45007 40 12 136560 109714
800 -6510.78 0.000961624 40 12 0.144924 40 13 1 0 0 2.36605 40 10 1 0 0 1 0 0 1.05164 40 11 136560 110172
840 -6483.47 0.00181679 40 2 0.13002 40 11 1 0 0 2.34356 40 8 1 0 0 1 0 0 1.07979 40 8 136560 109897
880 -6500.31 0.00144608 40 9 0.160169 40 9 1 0 0 2.12655 40 8 1 0 0 1 0 0 1.03846 40 12 136560 109810
920 -6513.63 0.00117755 40 16 0.144857 40 10 1 0 0 2.38782 40 16 1 0 0 1 0 0 1.07401 40 9 136560 109835
960 -6514.86 0.00090101 40 12 0.13363 40 7 1 0 0 2.66484 40 12 1 0 0 1 0 0 1.01353 40 11 136560 110196
1000 -6495.22 0.00199429 40 7 0.112612 40 15 1 0 0 2.01851 40 9 1 0 0 1 0 0 1.62358 40 9 136560 110338
1040 -6507.06 0.00182973 40 5 0.118052 40 10 1 0 0 2.11639 40 8 1 0 0 1 0 0 1.22684 40 13 136560 110271
1080 -6536.7 0.00175724 40 9 0.122727 40 6 1 0 0 2.12982 40 14 1 0 0 1 0 0 1.35114 40 9 136560 110051
1120 -6506.61 0.00217866 40 14 0.138808 40 10 1 0 0 1.9095 40 12 1 0 0 1 0 0 1.32896 40 7 136560 109909
1160 -6495.22 0.0007565 40 10 0.142734 40 6 1 0 0 1.99462 40 14 1 0 0 1 0 0 1.2418 40 9 136560 109645
1200 -6535.38 0.0014901 40 17 0.143427 40 6 1 0 0 1.91438 40 9 1 0 0 1 0 0 1.27415 40 12 136560 109983
1240 -6514.34 0.00141506 40 10 0.15796 40 5 1 0 0 1.99162 40 9 1 0 0 1 0 0 1.04043 40 10 136560 109529
1280 -6483.74 0.00104346 40 13 0.151294 40 7 1 0 0 2.06509 40 16 1 0 0 1 0 0 1.07263 40 5 136560 109821
1320 -6524.55 0.000921643 40 11 0.147627 40 11 1 0 0 1.7561 40 8 1 0 0 1 0 0 1.34771 40 8 136560 109559
1360 -6554.84 0.00142041 40 12 0.139226 40 6 1 0 0 2.08799 40 7 1 0 0 1 0 0 1.14925 40 10 136560 109939
1400 -6520.16 0.00166042 40 6 0.139329 40 15 1 0 0 2.36382 40 14 1 0 0 1 0 0 1.0887 40 10 136560 110058
1440 -6538.1 0.00116949 40 12 0.160214 40 9 1 0 0 1.96399 40 9 1 0 0 1 0 0 1.03463 40 18 136560 109954
1480 -6555.19 0.00166321 40 13 0.135474 40 13 1 0 0 2.1384 40 16 1 0 0 1 0 0 1.17228 40 13 136560 110189
1520 -6495.29 0.00137744 40 15 0.1338 40 10 1 0 0 2.02923 40 8 1 0 0 1 0 0 1.34474 40 14 136560 109889
1560 -6521.31 0.00171079 40 12 0.116346 40 10 1 0 0 2.43014 40 7 1 0 0 1 0 0 1.30182 40 8 136560 109909
1600 -6545.85 0.0018354 40 5 0.120888 40 8 1 0 0 2.09843 40 13 1 0 0 1 0 0 1.35956 40 12 136560 110411
1640 -6522.4 0.00197037 40 6 0.131764 40 12 1 0 0 2.31304 40 7 1 0 0 1 0 0 1.11749 40 16 136560 110304
1680 -6502.46 0.00210489 40 9 0.138669 40 9 1 0 0 2.244 40 9 1 0 0 1 0 0 1.09383 40 11 136560 110116
1720 -6506.1 0.00126225 40 11 0.139991 40 10 1 0 0 2.19595 40 7 1 0 0 1 0 0 1.05448 40 10 136560 109541
1760 -6505.69 0.00115281 40 9 0.135689 40 6 1 0 0 1.95105 40 8 1 0 0 1 0 0 1.34227 40 7 136560 109856
1800 -6554.22 0.00138942 40 13 0.144923 40 6 1 0 0 1.90845 40 7 1 0 0 1 0 0 1.24272 40 14 136560 109619
1840 -6524.92 0.00179133 40 7 0.134058 40 10 1 0 0 2.10597 40 1 1 0 0 1 0 0 1.2784 40 9 136560 109929
1880 -6509.31 0.00137478 40 13 0.124864 40 9 1 0 0 2.11566 40 14 1 0 0 1 0 0 1.24694 40 9 136560 110058
1920 -6558.94 0.00195845 40 5 0.117527 40 17 1 0 0 1.934 40 13 1 0 0 1 0 0 1.46622 40 8 136560 109966
