nSim	inference	data	correct_inference	combination	param	median	q97_5	q2_5
1	heterogeneous	heterogeneous	correct	flu	alpha	0.000172819	0.000606932	1.07228e-05
1	heterogeneous	heterogeneous	correct	flu	beta	0.454370067220619	0.518351653288774	0.397590291866567
1	heterogeneous	heterogeneous	correct	flu	pInf	0.365152246428505	0.404498665981884	0.328062712668375
1	heterogeneous	heterogeneous	correct	flu	rInfSC	1.17906666148319	1.4258950967004	0.979459539907851
1	heterogeneous	heterogeneous	correct	flu	rSC	1.86327303121841	2.17637127205805	1.60569318759898
10	heterogeneous	heterogeneous	correct	flu	alpha	0.000372706	0.000969481	5.307865e-05
10	heterogeneous	heterogeneous	correct	flu	beta	0.452242453839581	0.51725269207965	0.395314045880381
10	heterogeneous	heterogeneous	correct	flu	pInf	0.363800098064395	0.403843854328855	0.3265314928215
10	heterogeneous	heterogeneous	correct	flu	rInfSC	1.0052883211256	1.21326094983878	0.834679866451812
10	heterogeneous	heterogeneous	correct	flu	rSC	1.94366292999121	2.26666202459759	1.66990730269607
100	heterogeneous	heterogeneous	correct	flu	alpha	9.95161e-05	0.000417215875	4.28187625e-06
100	heterogeneous	heterogeneous	correct	flu	beta	0.442436103480675	0.503773320590293	0.385094747824274
100	heterogeneous	heterogeneous	correct	flu	pInf	0.357530608703069	0.395753661097612	0.319613783028412
100	heterogeneous	heterogeneous	correct	flu	rInfSC	1.17555514229617	1.42193304368138	0.994438617699542
100	heterogeneous	heterogeneous	correct	flu	rSC	1.88335446031555	2.2094117520788	1.59319455373892
1000	heterogeneous	heterogeneous	correct	flu	alpha	0.0002386475	0.00073472875	1.888265e-05
1000	heterogeneous	heterogeneous	correct	flu	beta	0.510705113578268	0.576882007358552	0.448129766168153
1000	heterogeneous	heterogeneous	correct	flu	pInf	0.399927689494665	0.438352993693986	0.361178215034828
1000	heterogeneous	heterogeneous	correct	flu	rInfSC	1.06721422991052	1.28402221102596	0.885856321166303
1000	heterogeneous	heterogeneous	correct	flu	rSC	1.64776814046761	1.92690643004714	1.41586179251836
101	heterogeneous	heterogeneous	correct	flu	alpha	0.0002074195	0.0007250265	1.0524525e-05
101	heterogeneous	heterogeneous	correct	flu	beta	0.436992660438293	0.498819120399064	0.379793843621638
101	heterogeneous	heterogeneous	correct	flu	pInf	0.354023827418866	0.392752673412222	0.315997593832762
101	heterogeneous	heterogeneous	correct	flu	rInfSC	0.950073630792137	1.13573042909176	0.776989682033781
101	heterogeneous	heterogeneous	correct	flu	rSC	2.14368018331371	2.53517156321699	1.83395278104623
102	heterogeneous	heterogeneous	correct	flu	alpha	0.000299246	0.00082560325	2.76374375e-05
102	heterogeneous	heterogeneous	correct	flu	beta	0.450446675883106	0.507427582170928	0.394029995705789
102	heterogeneous	heterogeneous	correct	flu	pInf	0.362656597875886	0.39795770705119	0.325666159276502
102	heterogeneous	heterogeneous	correct	flu	rInfSC	0.959430482617822	1.15198073659872	0.798817494341226
102	heterogeneous	heterogeneous	correct	flu	rSC	2.05804511605001	2.41340405245004	1.77803585096852
103	heterogeneous	heterogeneous	correct	flu	alpha	0.000184778	0.000635057625	9.59373875e-06
103	heterogeneous	heterogeneous	correct	flu	beta	0.512375305782333	0.577341614876986	0.450591074441341
103	heterogeneous	heterogeneous	correct	flu	pInf	0.400929089049619	0.438611227550297	0.362748620035908
103	heterogeneous	heterogeneous	correct	flu	rInfSC	1.20975010362286	1.4520502441633	1.01821373344189
103	heterogeneous	heterogeneous	correct	flu	rSC	1.62658093802969	1.90048383937372	1.40269587553681
104	heterogeneous	heterogeneous	correct	flu	alpha	0.000163818	0.000587902875	5.98823125e-06
104	heterogeneous	heterogeneous	correct	flu	beta	0.488667658046629	0.553506210601979	0.430584410800557
104	heterogeneous	heterogeneous	correct	flu	pInf	0.386556832445972	0.425069554394632	0.349870956991089
104	heterogeneous	heterogeneous	correct	flu	rInfSC	0.992088101548559	1.18970660479806	0.815433690588872
104	heterogeneous	heterogeneous	correct	flu	rSC	1.79859188242835	2.0998252751122	1.5437220842273
105	heterogeneous	heterogeneous	correct	flu	alpha	0.000206105	0.000748424875	9.9626625e-06
105	heterogeneous	heterogeneous	correct	flu	beta	0.479617278976224	0.544685715632959	0.422597314697102
105	heterogeneous	heterogeneous	correct	flu	pInf	0.380979741456017	0.419975951222997	0.344657522284964
105	heterogeneous	heterogeneous	correct	flu	rInfSC	1.13029600209171	1.35296119502159	0.949130194034765
105	heterogeneous	heterogeneous	correct	flu	rSC	1.74419012730343	2.01585929694113	1.48569152895974
106	heterogeneous	heterogeneous	correct	flu	alpha	0.0005184415	0.00113156	8.98560875e-05
106	heterogeneous	heterogeneous	correct	flu	beta	0.480252386878486	0.545377843338937	0.42542236381802
106	heterogeneous	heterogeneous	correct	flu	pInf	0.381372759908206	0.420377231117985	0.346506280846818
106	heterogeneous	heterogeneous	correct	flu	rInfSC	1.19112138160459	1.42007091691621	0.991328421802858
106	heterogeneous	heterogeneous	correct	flu	rSC	1.83492145612721	2.14114139474456	1.57834916062139
107	heterogeneous	heterogeneous	correct	flu	alpha	7.296175e-05	0.0003911165	2.93281e-06
107	heterogeneous	heterogeneous	correct	flu	beta	0.398985868226055	0.454663189993286	0.345817120682714
107	heterogeneous	heterogeneous	correct	flu	pInf	0.328999816277816	0.365338307190899	0.292358111409366
107	heterogeneous	heterogeneous	correct	flu	rInfSC	1.22291847061955	1.46373760825599	1.00833904177625
107	heterogeneous	heterogeneous	correct	flu	rSC	2.31113145425564	2.71016187599687	1.96254570027487
108	heterogeneous	heterogeneous	correct	flu	alpha	0.00052483	0.00116001875	0.000116606125
108	heterogeneous	heterogeneous	correct	flu	beta	0.448945877077497	0.511029463150205	0.39291701958358
108	heterogeneous	heterogeneous	correct	flu	pInf	0.361699355470667	0.400122283748229	0.324915235821463
108	heterogeneous	heterogeneous	correct	flu	rInfSC	1.12755843792804	1.36118727097816	0.949086575372857
108	heterogeneous	heterogeneous	correct	flu	rSC	1.96259297821274	2.31680860882008	1.66421603131353
109	heterogeneous	heterogeneous	correct	flu	alpha	9.72983e-05	0.000431569	3.1124125e-06
109	heterogeneous	heterogeneous	correct	flu	beta	0.526182668098395	0.596187574655041	0.46740234603301
109	heterogeneous	heterogeneous	correct	flu	pInf	0.409143835638738	0.449092019796133	0.373372069376778
109	heterogeneous	heterogeneous	correct	flu	rInfSC	1.06961881488895	1.28298289904315	0.894683379427572
109	heterogeneous	heterogeneous	correct	flu	rSC	1.68005672042673	1.95895800778842	1.43635698452451
11	heterogeneous	heterogeneous	correct	flu	alpha	0.000181713	0.00068833725	9.843655e-06
11	heterogeneous	heterogeneous	correct	flu	beta	0.478266938010109	0.545283968485663	0.421465952388963
11	heterogeneous	heterogeneous	correct	flu	pInf	0.380143288258594	0.420322822636518	0.343915651243109
11	heterogeneous	heterogeneous	correct	flu	rInfSC	1.14736728173643	1.37897154797742	0.952978284392864
11	heterogeneous	heterogeneous	correct	flu	rSC	1.68302709255842	1.95737546436192	1.44429734739102
110	heterogeneous	heterogeneous	correct	flu	alpha	0.000282861	0.000843791375	1.65206875e-05
110	heterogeneous	heterogeneous	correct	flu	beta	0.460847635897046	0.524661094597265	0.404157062416201
110	heterogeneous	heterogeneous	correct	flu	pInf	0.369251226345074	0.408244094105388	0.332460731979815
110	heterogeneous	heterogeneous	correct	flu	rInfSC	0.985352733581425	1.17770773512194	0.813759071966087
110	heterogeneous	heterogeneous	correct	flu	rSC	1.897563817142	2.21339455520473	1.62590874226196
111	heterogeneous	heterogeneous	correct	flu	alpha	0.0001986605	0.000677982125	1.09786125e-05
111	heterogeneous	heterogeneous	correct	flu	beta	0.486882344613455	0.55254878003726	0.42459851701865
111	heterogeneous	heterogeneous	correct	flu	pInf	0.385460667445358	0.424518802976589	0.345967679789043
111	heterogeneous	heterogeneous	correct	flu	rInfSC	0.909711166779857	1.09547578218088	0.748135516731786
111	heterogeneous	heterogeneous	correct	flu	rSC	1.99123066962211	2.35271587831251	1.71984804380029
112	heterogeneous	heterogeneous	correct	flu	alpha	0.0001973045	0.00073289125	1.0246325e-05
112	heterogeneous	heterogeneous	correct	flu	beta	0.490409909343587	0.553706261492625	0.432289519172334
112	heterogeneous	heterogeneous	correct	flu	pInf	0.387624674706681	0.425184540766616	0.350978550749284
112	heterogeneous	heterogeneous	correct	flu	rInfSC	1.0477216246116	1.2668615948753	0.876107459686065
112	heterogeneous	heterogeneous	correct	flu	rSC	1.90226179290882	2.21735391833774	1.64835348935766
113	heterogeneous	heterogeneous	correct	flu	alpha	0.000249233	0.0007401275	2.1134775e-05
113	heterogeneous	heterogeneous	correct	flu	beta	0.474201789125879	0.537869011689515	0.414769962416404
113	heterogeneous	heterogeneous	correct	flu	pInf	0.37761834848574	0.416008592183203	0.339507797303861
113	heterogeneous	heterogeneous	correct	flu	rInfSC	1.03341869430126	1.23195912700801	0.861964019162138
113	heterogeneous	heterogeneous	correct	flu	rSC	1.9602943132518	2.26584087350162	1.68542689042592
114	heterogeneous	heterogeneous	correct	flu	alpha	0.000263718	0.00085489	1.4976e-05
114	heterogeneous	heterogeneous	correct	flu	beta	0.4619619374419	0.522121958549601	0.404812851643896
114	heterogeneous	heterogeneous	correct	flu	pInf	0.369953678512904	0.40673965799263	0.332898350088569
114	heterogeneous	heterogeneous	correct	flu	rInfSC	1.1639214838029	1.40006084203864	0.9819266257202
114	heterogeneous	heterogeneous	correct	flu	rSC	1.7406849721824	2.04235126333928	1.49428096123371
115	heterogeneous	heterogeneous	correct	flu	alpha	0.000426277	0.0010150975	6.71990375e-05
115	heterogeneous	heterogeneous	correct	flu	beta	0.389482026526549	0.449144853852133	0.337985793412349
115	heterogeneous	heterogeneous	correct	flu	pInf	0.322592336948683	0.361826344832845	0.286794577531794
115	heterogeneous	heterogeneous	correct	flu	rInfSC	1.33896860872984	1.61464939669311	1.1130649173748
115	heterogeneous	heterogeneous	correct	flu	rSC	1.96503032053925	2.29294513429678	1.66634486815919
116	heterogeneous	heterogeneous	correct	flu	alpha	0.000375556	0.000934105375	4.4346675e-05
116	heterogeneous	heterogeneous	correct	flu	beta	0.46837138341456	0.533952335113075	0.410730903948687
116	heterogeneous	heterogeneous	correct	flu	pInf	0.37397901325691	0.413716802370536	0.336834636664842
116	heterogeneous	heterogeneous	correct	flu	rInfSC	0.900848153813772	1.08360471720545	0.737881476573932
116	heterogeneous	heterogeneous	correct	flu	rSC	2.10357808432292	2.45638462137918	1.78702069549844
117	heterogeneous	heterogeneous	correct	flu	alpha	0.0001310625	0.000577161	5.04976375e-06
117	heterogeneous	heterogeneous	correct	flu	beta	0.49746655574941	0.562597711181227	0.438118196623931
117	heterogeneous	heterogeneous	correct	flu	pInf	0.391930779968754	0.430272844840412	0.354750451375885
117	heterogeneous	heterogeneous	correct	flu	rInfSC	1.05440742349716	1.2664011299078	0.868992204215957
117	heterogeneous	heterogeneous	correct	flu	rSC	1.67960381547974	1.96439127402276	1.44622650858398
118	heterogeneous	heterogeneous	correct	flu	alpha	0.000531019	0.00118970625	0.0001149015
118	heterogeneous	heterogeneous	correct	flu	beta	0.486006024569498	0.556215518188762	0.428419247040206
118	heterogeneous	heterogeneous	correct	flu	pInf	0.384921898066441	0.426625084230227	0.348461786822288
118	heterogeneous	heterogeneous	correct	flu	rInfSC	1.03049866397171	1.23417876549021	0.850960725306859
118	heterogeneous	heterogeneous	correct	flu	rSC	1.81941737690352	2.14020596846472	1.55233357841076
