nSim	inference	data	correct_inference	combination	median	q97_5	q2_5
1	heterogeneous	heterogeneous	correct	flu	0.532014455371753	0.584432310313294	0.480181932387328
10	heterogeneous	heterogeneous	correct	flu	0.461112644043674	0.513169915876812	0.407350780107471
100	heterogeneous	heterogeneous	correct	flu	0.497286551261138	0.549021120693664	0.443924747929738
11	heterogeneous	heterogeneous	correct	flu	0.480783221440168	0.531963368549547	0.430467856218731
12	heterogeneous	heterogeneous	correct	flu	0.460913899121011	0.515628260735095	0.41051386559026
13	heterogeneous	heterogeneous	correct	flu	0.509302496593656	0.558170355680705	0.45585908850309
14	heterogeneous	heterogeneous	correct	flu	0.497514481113261	0.549894403156101	0.446650484342701
15	heterogeneous	heterogeneous	correct	flu	0.464083397241781	0.516279313802594	0.412468775025694
16	heterogeneous	heterogeneous	correct	flu	0.512748702600394	0.564486906288009	0.462161909244776
17	heterogeneous	heterogeneous	correct	flu	0.512163948731629	0.564659989829731	0.458265781452472
18	heterogeneous	heterogeneous	correct	flu	0.500524034975345	0.552329575689748	0.448580402006831
19	heterogeneous	heterogeneous	correct	flu	0.487810364347822	0.538856577614117	0.435598692104178
2	heterogeneous	heterogeneous	correct	flu	0.502327724214662	0.552489598002484	0.448646752942239
20	heterogeneous	heterogeneous	correct	flu	0.493431874371267	0.547662720766959	0.441765143121537
21	heterogeneous	heterogeneous	correct	flu	0.495442537715102	0.545892262647691	0.446044860715111
22	heterogeneous	heterogeneous	correct	flu	0.518342792908997	0.567029122060173	0.468103203270565
23	heterogeneous	heterogeneous	correct	flu	0.51570416725138	0.568718361392639	0.462537152279819
24	heterogeneous	heterogeneous	correct	flu	0.462994185744257	0.512545489917223	0.40633988802323
25	heterogeneous	heterogeneous	correct	flu	0.418936240231857	0.474203986551621	0.364828451761017
26	heterogeneous	heterogeneous	correct	flu	0.460212728766716	0.515740630225727	0.408527684556516
27	heterogeneous	heterogeneous	correct	flu	0.534775609046656	0.586025473316893	0.481695438908462
28	heterogeneous	heterogeneous	correct	flu	0.582351597942457	0.628426820228026	0.532643708804069
29	heterogeneous	heterogeneous	correct	flu	0.467836058032777	0.524006563945743	0.416682498447926
3	heterogeneous	heterogeneous	correct	flu	0.496252386902268	0.547899893548117	0.441455766586389
30	heterogeneous	heterogeneous	correct	flu	0.548257936296965	0.595362142606277	0.497638360362331
31	heterogeneous	heterogeneous	correct	flu	0.509495751576321	0.559724614994471	0.455525590222024
32	heterogeneous	heterogeneous	correct	flu	0.503969501400653	0.552176587603771	0.454410898704349
33	heterogeneous	heterogeneous	correct	flu	0.45802759021723	0.510386580193971	0.406526225268065
34	heterogeneous	heterogeneous	correct	flu	0.43725958469253	0.48914121819595	0.38678353847944
35	heterogeneous	heterogeneous	correct	flu	0.450792239195396	0.505449952849361	0.400915271371439
