param	prob	nSim	combination	correct_inference
alpha	0.314320603907638	1	flu	correct
beta	0.23809946714032	1	flu	correct
rSC	0.22946269982238	1	flu	correct
rInfSC	0.252131438721137	1	flu	correct
data	0.806700563316117	1	flu	correct
alpha	0.220048845470693	10	flu	correct
beta	0.24613676731794	10	flu	correct
rSC	0.246225577264654	10	flu	correct
rInfSC	0.254529307282416	10	flu	correct
data	0.81151427130076	10	flu	correct
alpha	0.300310834813499	100	flu	correct
beta	0.242029307282416	100	flu	correct
rSC	0.239653641207815	100	flu	correct
rInfSC	0.249444937833037	100	flu	correct
data	0.808057413860599	100	flu	correct
alpha	0.240852575488455	1000	flu	correct
beta	0.238587921847247	1000	flu	correct
rSC	0.23408081705151	1000	flu	correct
rInfSC	0.245426287744227	1000	flu	correct
data	0.811343876635465	1000	flu	correct
alpha	0.224733570159858	101	flu	correct
beta	0.249622557726465	101	flu	correct
rSC	0.259880106571936	101	flu	correct
rInfSC	0.257704262877442	101	flu	correct
data	0.811448424929474	101	flu	correct
alpha	0.22366785079929	102	flu	correct
beta	0.249089698046181	102	flu	correct
rSC	0.255595026642984	102	flu	correct
rInfSC	0.252664298401421	102	flu	correct
data	0.811255456762761	102	flu	correct
alpha	0.27306838365897	103	flu	correct
beta	0.236967140319716	103	flu	correct
rSC	0.22797513321492	103	flu	correct
rInfSC	0.248268206039076	103	flu	correct
data	0.807660782479971	103	flu	correct
alpha	0.27841918294849	104	flu	correct
beta	0.243206039076377	104	flu	correct
rSC	0.241496447602131	104	flu	correct
rInfSC	0.246025754884547	104	flu	correct
data	0.80802099542922	104	flu	correct
alpha	0.248823268206039	105	flu	correct
beta	0.238321492007105	105	flu	correct
rSC	0.236567495559503	105	flu	correct
rInfSC	0.251709591474245	105	flu	correct
data	0.810152522376624	105	flu	correct
alpha	0.209613676731794	106	flu	correct
beta	0.235990230905861	106	flu	correct
rSC	0.23556838365897	106	flu	correct
rInfSC	0.254551509769094	106	flu	correct
data	0.808935068067691	106	flu	correct
alpha	0.339897868561279	107	flu	correct
beta	0.239520426287744	107	flu	correct
rSC	0.24464920071048	107	flu	correct
rInfSC	0.252309058614565	107	flu	correct
data	0.80576738975219	107	flu	correct
alpha	0.216407637655417	108	flu	correct
beta	0.242206927175844	108	flu	correct
rSC	0.242095914742451	108	flu	correct
rInfSC	0.255461811722913	108	flu	correct
data	0.810283434781945	108	flu	correct
alpha	0.331061278863233	109	flu	correct
beta	0.230639431616341	109	flu	correct
rSC	0.220892539964476	109	flu	correct
rInfSC	0.241096802841918	109	flu	correct
data	0.806258955465775	109	flu	correct
alpha	0.268849911190053	11	flu	correct
beta	0.24433836589698	11	flu	correct
rSC	0.236989342806394	11	flu	correct
rInfSC	0.249777975133215	11	flu	correct
data	0.806817946612357	11	flu	correct
alpha	0.216007992895204	110	flu	correct
beta	0.25	110	flu	correct
rSC	0.247246891651865	110	flu	correct
rInfSC	0.258015097690941	110	flu	correct
data	0.811439010394516	110	flu	correct
alpha	0.276798401420959	111	flu	correct
beta	0.240808170515098	111	flu	correct
rSC	0.240719360568384	111	flu	correct
rInfSC	0.242984014209591	111	flu	correct
data	0.806299373003825	111	flu	correct
alpha	0.248001776198934	112	flu	correct
beta	0.237477797513321	112	flu	correct
rSC	0.236722912966252	112	flu	correct
rInfSC	0.248134991119005	112	flu	correct
data	0.809522545901912	112	flu	correct
alpha	0.240186500888099	113	flu	correct
beta	0.243428063943162	113	flu	correct
rSC	0.241585257548845	113	flu	correct
rInfSC	0.246691829484902	113	flu	correct
data	0.809228475661398	113	flu	correct
alpha	0.209169626998224	114	flu	correct
beta	0.252198046181172	114	flu	correct
rSC	0.242717584369449	114	flu	correct
rInfSC	0.261989342806394	114	flu	correct
data	0.811294041824419	114	flu	correct
alpha	0.234258436944938	115	flu	correct
beta	0.248579040852575	115	flu	correct
rSC	0.253929840142096	115	flu	correct
rInfSC	0.270026642984014	115	flu	correct
data	0.810944712533467	115	flu	correct
alpha	0.237100355239787	116	flu	correct
beta	0.23883214920071	116	flu	correct
rSC	0.245337477797513	116	flu	correct
rInfSC	0.241651865008881	116	flu	correct
data	0.809613893902262	116	flu	correct
alpha	0.277486678507993	117	flu	correct
beta	0.239764653641208	117	flu	correct
rSC	0.236278863232682	117	flu	correct
rInfSC	0.245648312611012	117	flu	correct
data	0.808197039002624	117	flu	correct
alpha	0.217251332149201	118	flu	correct
beta	0.241030195381883	118	flu	correct
rSC	0.24107460035524	118	flu	correct
rInfSC	0.249800177619893	118	flu	correct
data	0.808877196877629	118	flu	correct
alpha	0.220248667850799	119	flu	correct
beta	0.236500888099467	119	flu	correct
rSC	0.232126998223801	119	flu	correct
rInfSC	0.246403197158082	119	flu	correct
data	0.81008722082196	119	flu	correct
alpha	0.204151865008881	12	flu	correct
beta	0.245581705150977	12	flu	correct
rSC	0.244404973357016	12	flu	correct
rInfSC	0.252331261101243	12	flu	correct
data	0.811175824842124	12	flu	correct
alpha	0.222380106571936	120	flu	correct
beta	0.244871225577265	120	flu	correct
rSC	0.248312611012433	120	flu	correct
rInfSC	0.252175843694494	120	flu	correct
data	0.810951015043944	120	flu	correct
alpha	0.261922735346359	121	flu	correct
beta	0.245648312611012	121	flu	correct
rSC	0.239853463587922	121	flu	correct
rInfSC	0.249023090586146	121	flu	correct
data	0.807969861261091	121	flu	correct
alpha	0.20968028419183	122	flu	correct
beta	0.246780639431616	122	flu	correct
rSC	0.243494671403197	122	flu	correct
rInfSC	0.261789520426288	122	flu	correct
data	0.811246228019924	122	flu	correct
alpha	0.227264653641208	123	flu	correct
beta	0.245892539964476	123	flu	correct
rSC	0.252619893428064	123	flu	correct
rInfSC	0.258614564831261	123	flu	correct
data	0.810360803468812	123	flu	correct
alpha	0.326154529307282	124	flu	correct
beta	0.23095026642984	124	flu	correct
rSC	0.227109236234458	124	flu	correct
rInfSC	0.245737122557726	124	flu	correct
data	0.806159400749592	124	flu	correct
alpha	0.298490230905861	125	flu	correct
beta	0.232504440497336	125	flu	correct
rSC	0.230883658969805	125	flu	correct
rInfSC	0.241896092362345	125	flu	correct
data	0.805680266753337	125	flu	correct
alpha	0.273912078152753	126	flu	correct
beta	0.240097690941385	126	flu	correct
rSC	0.234724689165186	126	flu	correct
rInfSC	0.244293960923623	126	flu	correct
data	0.806710605788078	126	flu	correct
alpha	0.34107460035524	127	flu	correct
beta	0.237699822380107	127	flu	correct
rSC	0.235390763765542	127	flu	correct
rInfSC	0.248978685612789	127	flu	correct
data	0.80801845313334	127	flu	correct
alpha	0.281971580817052	128	flu	correct
beta	0.241918294849023	128	flu	correct
rSC	0.239498223801066	128	flu	correct
rInfSC	0.238943161634103	128	flu	correct
data	0.806506842107451	128	flu	correct
alpha	0.259302841918295	129	flu	correct
beta	0.235657193605684	129	flu	correct
rSC	0.234036412078153	129	flu	correct
rInfSC	0.256682948490231	129	flu	correct
data	0.806995829615866	129	flu	correct
alpha	0.274977797513321	13	flu	correct
beta	0.235013321492007	13	flu	correct
rSC	0.23348134991119	13	flu	correct
rInfSC	0.238210479573712	13	flu	correct
data	0.806863299340211	13	flu	correct
alpha	0.196492007104796	130	flu	correct
beta	0.24107460035524	130	flu	correct
rSC	0.245803730017762	130	flu	correct
rInfSC	0.246247779751332	130	flu	correct
data	0.81066895826994	130	flu	correct
alpha	0.247757548845471	131	flu	correct
beta	0.235257548845471	131	flu	correct
rSC	0.232704262877442	131	flu	correct
rInfSC	0.247846358792185	131	flu	correct
data	0.806688691798655	131	flu	correct
alpha	0.250954706927176	132	flu	correct
beta	0.244626998223801	132	flu	correct
rSC	0.240497335701599	132	flu	correct
rInfSC	0.245626110124334	132	flu	correct
data	0.808630051911652	132	flu	correct
alpha	0.470515097690941	133	flu	correct
beta	0.234125222024867	133	flu	correct
rSC	0.229396092362345	133	flu	correct
rInfSC	0.239187388987567	133	flu	correct
data	0.804527024184421	133	flu	correct
alpha	0.326132326820604	134	flu	correct
beta	0.237633214920071	134	flu	correct
rSC	0.236190053285968	134	flu	correct
rInfSC	0.255417406749556	134	flu	correct
data	0.80574075259217	134	flu	correct
alpha	0.303929840142096	135	flu	correct
beta	0.243383658969805	135	flu	correct
rSC	0.240297513321492	135	flu	correct
rInfSC	0.252331261101243	135	flu	correct
data	0.805544153022831	135	flu	correct
alpha	0.193228241563055	136	flu	correct
beta	0.23765541740675	136	flu	correct
rSC	0.235035523978686	136	flu	correct
rInfSC	0.252908525754885	136	flu	correct
data	0.810258936500888	136	flu	correct
alpha	0.293583481349911	137	flu	correct
beta	0.235368561278863	137	flu	correct
rSC	0.231638543516874	137	flu	correct
rInfSC	0.256860568383659	137	flu	correct
